igt,x,y,z
2392551,375.5144958496094,-223.756103515625,-1176.945068359375
2392567,375.5146179199219,-223.756103515625,-1176.945068359375
2392583,375.5147399902344,-223.756103515625,-1176.945068359375
2392599,375.5150451660156,-223.756103515625,-1176.945068359375
2392615,375.5152893066406,-223.756103515625,-1176.945068359375
2392631,375.5160827636719,-223.756103515625,-1176.945068359375
2392647,375.5168151855469,-223.756103515625,-1176.945068359375
2392663,375.5168151855469,-223.756103515625,-1176.945068359375
2392679,375.5168151855469,-223.756103515625,-1176.945068359375
2392695,375.5168151855469,-223.756103515625,-1176.945068359375
2392711,375.5168151855469,-223.756103515625,-1176.945068359375
2392727,375.5168151855469,-223.756103515625,-1176.945068359375
2392743,375.5168151855469,-223.756103515625,-1176.945068359375
2392759,375.5168151855469,-223.756103515625,-1176.945068359375
2392775,375.5168151855469,-223.756103515625,-1176.945068359375
2392791,375.5168151855469,-223.756103515625,-1176.945068359375
2392807,375.5168151855469,-223.756103515625,-1176.945068359375
2392823,375.5168151855469,-223.756103515625,-1176.945068359375
2392839,375.5168151855469,-223.756103515625,-1176.945068359375
2392855,375.5168151855469,-223.756103515625,-1176.945068359375
2392871,375.5168151855469,-223.756103515625,-1176.945068359375
2392887,375.5168151855469,-223.756103515625,-1176.945068359375
2392903,375.5168151855469,-223.756103515625,-1176.945068359375
2392919,375.5168151855469,-223.756103515625,-1176.945068359375
2392935,375.5168151855469,-223.756103515625,-1176.945068359375
2392951,375.5168151855469,-223.756103515625,-1176.945068359375
2392967,375.5168151855469,-223.756103515625,-1176.945068359375
2392983,375.5168151855469,-223.756103515625,-1176.945068359375
2392999,375.5168151855469,-223.756103515625,-1176.945068359375
2393015,375.5168151855469,-223.756103515625,-1176.945068359375
2393031,375.5168151855469,-223.756103515625,-1176.945068359375
2393047,375.5168151855469,-223.756103515625,-1176.945068359375
2393063,375.5168151855469,-223.756103515625,-1176.945068359375
2393079,375.5168151855469,-223.756103515625,-1176.945068359375
2393095,375.5168151855469,-223.756103515625,-1176.945068359375
2393111,375.5168151855469,-223.756103515625,-1176.945068359375
2393127,375.5168151855469,-223.756103515625,-1176.945068359375
2393143,375.5168151855469,-223.756103515625,-1176.945068359375
2393159,375.5168151855469,-223.756103515625,-1176.945068359375
2393175,375.5168151855469,-223.756103515625,-1176.945068359375
2393191,375.5168151855469,-223.756103515625,-1176.945068359375
2393207,375.5168151855469,-223.756103515625,-1176.945068359375
2393223,375.5168151855469,-223.756103515625,-1176.945068359375
2393239,375.58233642578125,-223.756103515625,-1176.9453125
2393255,375.6478271484375,-223.756103515625,-1176.9427490234375
2393271,375.7133483886719,-223.756103515625,-1176.9429931640625
2393287,375.77886962890625,-223.756103515625,-1176.943115234375
2393303,375.8443908691406,-223.756103515625,-1176.9432373046875
2393319,375.909912109375,-223.756103515625,-1176.9434814453125
2393335,375.9754333496094,-223.756103515625,-1176.9437255859375
2393351,376.04095458984375,-223.756103515625,-1176.9439697265625
2393367,376.1064758300781,-223.756103515625,-1176.944091796875
2393383,376.1719970703125,-223.756103515625,-1176.9443359375
2393399,376.2375183105469,-223.756103515625,-1176.9444580078125
2393415,376.30303955078125,-223.756103515625,-1176.9447021484375
2393431,376.3685607910156,-223.756103515625,-1176.9449462890625
2393447,376.43408203125,-223.756103515625,-1176.945068359375
2393463,376.4996032714844,-223.756103515625,-1176.9453125
2393479,376.5650939941406,-223.756103515625,-1176.945556640625
2393495,376.630615234375,-223.756103515625,-1176.94580078125
2393511,376.6961669921875,-223.756103515625,-1176.946044921875
2393527,376.7616882324219,-223.756103515625,-1176.9462890625
2393543,376.8272399902344,-223.756103515625,-1176.9466552734375
2393559,376.8927307128906,-223.756103515625,-1176.9468994140625
2393575,376.958251953125,-223.756103515625,-1176.9471435546875
2393591,377.02374267578125,-223.756103515625,-1176.9473876953125
2393607,377.08929443359375,-223.756103515625,-1176.9476318359375
